Q4 2020,,,,,,,,,Q1 2021,,,,,,,,,Q2 2021,,,,,,,,,Q3 2021,,,,,,,,,Q4 2021,,,,,,,,,Q1 2022,,,,,,,,,Q2 2022,,,,,,,,,Q3 2022,,,,,,,,,Q4 2022,,,,,,,,,Q1 2023,,,,,,,,,Q2 2023,,,,,,,,
STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED
Abia,10,19,1,30,146,31,177,279,Abia,16,23,5,44,119,35,154,289,Abia,10,11,0,21,69,19,88,177,Abia,7,10,3,20,62,11,73,140,Abia,3,12,6,21,57,3,60,177,Abia,8,20,5,33,144,13,157,260,Abia,10,13,6,29,107,23,130,224,Abia,5,17,2,24,101,9,110,226,Abia,7,13,13,33,89,7,96,209,Abia,7,5,0,12,45,16,61,81,Abia,3,6,3,12,22,3,25,78
Adamawa,14,63,0,77,234,36,270,443,Adamawa,11,73,0,84,251,21,272,437,Adamawa,11,76,3,90,280,21,301,468,Adamawa,14,58,8,80,208,26,234,391,Adamawa,17,54,5,76,191,25,216,423,Adamawa,17,61,1,79,245,61,306,488,Adamawa,13,50,1,64,176,25,201,345,Adamawa,3,27,2,32,72,3,75,141,Adamawa,7,27,0,34,117,17,134,213,Adamawa,13,40,0,53,152,20,172,272,Adamawa,5,51,1,57,175,5,180,301
Akwa Ibom,6,13,3,22,28,7,35,89,Akwa Ibom,7,12,3,22,35,12,47,117,Akwa Ibom,6,9,1,16,32,10,42,87,Akwa Ibom,1,8,4,13,18,1,19,75,Akwa Ibom,7,13,2,22,39,10,49,98,Akwa Ibom,7,8,1,16,35,7,42,84,Akwa Ibom,9,15,4,28,63,12,75,125,Akwa Ibom,8,13,1,22,55,9,64,126,Akwa Ibom,7,14,2,23,75,15,90,164,Akwa Ibom,3,6,0,9,16,3,19,32,Akwa Ibom,5,10,2,17,32,6,38,75
Anambra,14,41,17,72,152,20,172,526,Anambra,9,55,16,80,147,9,156,575,Anambra,15,31,20,66,138,18,156,418,Anambra,12,39,11,62,142,17,159,411,Anambra,24,25,10,59,156,45,201,577,Anambra,15,20,3,38,103,22,125,376,Anambra,11,11,7,29,45,18,63,160,Anambra,15,20,7,42,103,20,123,301,Anambra,10,20,10,40,121,14,135,344,Anambra,4,8,3,15,76,3,79,161,Anambra,10,11,13,34,60,12,72,273
Bauchi,45,108,1,154,685,90,775,1182,Bauchi,52,78,1,131,634,115,749,1138,Bauchi,33,72,0,105,418,46,464,737,Bauchi,39,86,5,130,627,79,706,1010,Bauchi,64,149,4,217,882,156,1038,1600,Bauchi,40,99,1,140,499,73,572,1105,Bauchi,27,61,2,90,351,79,430,652,Bauchi,29,95,5,129,436,94,530,855,Bauchi,42,79,1,122,523,93,616,888,Bauchi,43,56,11,110,473,139,612,826,Bauchi,33,66,1,100,399,84,483,656
Bayelsa,0,1,0,1,3,0,3,3,Bayelsa,0,6,1,7,15,0,15,29,Bayelsa,2,5,3,10,19,3,22,42,Bayelsa,3,9,7,19,23,8,31,72,Bayelsa,3,9,0,12,37,24,61,80,Bayelsa,2,16,5,23,61,2,63,140,Bayelsa,1,11,3,15,25,4,29,82,Bayelsa,1,7,4,12,16,1,17,73,Bayelsa,1,5,2,8,17,1,18,27,Bayelsa,2,2,2,6,11,1,12,28,Bayelsa,2,5,0,7,30,8,38,53
Benue,10,43,24,77,177,25,202,254,Benue,10,27,15,52,123,15,138,187,Benue,7,59,3,69,170,19,189,236,Benue,10,37,6,53,159,18,177,245,Benue,6,44,3,53,123,9,132,165,Benue,18,52,4,74,221,27,248,461,Benue,26,58,0,84,273,51,324,559,Benue,9,57,4,70,227,16,243,404,Benue,20,49,4,73,225,24,249,395,Benue,3,27,7,37,84,4,88,226,Benue,19,38,0,57,156,29,185,302
Borno,8,17,0,25,67,16,83,118,Borno,8,23,0,31,78,24,102,149,Borno,2,15,0,17,65,4,69,103,Borno,2,14,1,17,110,3,113,188,Borno,4,17,0,21,70,5,75,152,Borno,9,16,0,25,114,25,139,187,Borno,3,10,0,13,57,7,64,94,Borno,7,18,0,25,154,22,176,222,Borno,10,28,1,39,207,66,273,375,Borno,6,17,3,26,76,9,85,115,Borno,9,43,2,54,164,13,177,315
Cross River,9,19,5,33,65,11,76,164,Cross River,12,13,0,25,50,30,80,135,Cross River,5,20,4,29,74,5,79,149,Cross River,8,26,3,37,144,15,159,229,Cross River,15,31,8,54,133,20,153,248,Cross River,5,13,3,21,71,8,79,135,Cross River,14,14,1,29,60,18,78,115,Cross River,9,14,5,28,48,17,65,140,Cross River,12,21,6,39,81,21,102,257,Cross River,5,7,0,12,35,7,42,76,Cross River,9,15,3,27,85,22,107,206
Delta,25,36,6,67,182,36,218,407,Delta,21,39,11,71,196,51,247,482,Delta,9,28,4,41,136,16,152,311,Delta,11,28,6,45,122,23,145,279,Delta,21,28,9,58,172,30,202,452,Delta,30,44,7,81,227,62,289,568,Delta,23,30,13,66,173,32,205,390,Delta,11,28,5,44,137,25,162,255,Delta,17,25,6,48,174,30,204,306,Delta,12,7,3,22,87,34,121,174,Delta,9,13,6,28,84,17,101,224
Ebonyi,10,16,1,27,82,11,93,200,Ebonyi,10,19,2,31,121,27,148,274,Ebonyi,9,19,1,29,82,15,97,185,Ebonyi,9,18,7,34,100,18,118,272,Ebonyi,14,13,3,30,87,29,116,171,Ebonyi,11,17,5,33,87,22,109,217,Ebonyi,8,15,2,25,76,10,86,171,Ebonyi,11,37,6,54,85,17,102,313,Ebonyi,9,39,7,55,118,19,137,368,Ebonyi,9,30,10,49,131,14,145,366,Ebonyi,15,29,4,48,97,43,140,294
Edo,20,29,6,55,118,32,150,311,Edo,20,30,6,56,140,51,191,386,Edo,19,30,9,58,154,34,188,370,Edo,19,36,11,66,158,33,191,419,Edo,24,31,8,63,125,40,165,397,Edo,21,42,14,77,176,54,230,569,Edo,21,31,6,58,207,36,243,447,Edo,20,31,9,60,133,28,161,487,Edo,15,34,14,63,142,23,165,487,Edo,14,37,4,55,183,41,224,426,Edo,27,28,16,71,222,50,272,724
Ekiti,8,20,2,30,71,9,80,185,Ekiti,10,19,2,31,101,13,114,175,Ekiti,13,23,5,41,98,20,118,252,Ekiti,7,31,6,44,127,10,137,287,Ekiti,3,17,7,27,62,5,67,178,Ekiti,3,14,2,19,35,3,38,74,Ekiti,7,17,7,31,58,13,71,174,Ekiti,7,12,1,20,46,16,62,100,Ekiti,8,10,1,19,40,9,49,101,Ekiti,1,14,7,22,48,2,50,120,Ekiti,6,17,5,28,51,9,60,117
Enugu,9,24,11,44,116,30,146,387,Enugu,24,36,6,66,222,37,259,505,Enugu,13,34,19,66,157,22,179,453,Enugu,21,52,24,97,270,28,298,748,Enugu,16,29,11,56,134,21,155,348,Enugu,21,28,8,57,211,38,249,600,Enugu,16,43,11,70,215,24,239,491,Enugu,12,32,4,48,177,18,195,400,Enugu,12,41,3,56,157,19,176,481,Enugu,10,23,4,37,99,21,120,237,Enugu,13,25,6,44,129,40,169,284
FCT,71,182,59,312,572,90,662,1543,FCT,41,177,60,278,518,56,574,1289,FCT,31,168,53,252,483,37,520,1273,FCT,44,199,64,307,562,57,619,1629,FCT,50,190,40,280,621,66,687,1424,FCT,43,186,90,319,467,56,523,1609,FCT,80,353,105,538,1028,111,1139,2664,FCT,56,314,94,464,784,109,893,2399,FCT,79,345,58,482,791,127,918,2103,FCT,71,245,66,382,667,100,767,1663,FCT,52,214,54,320,653,65,718,1713
Gombe,18,50,2,70,231,26,257,459,Gombe,11,59,2,72,232,31,263,388,Gombe,15,76,2,93,239,28,267,427,Gombe,10,60,3,73,218,13,231,334,Gombe,17,71,2,90,256,30,286,472,Gombe,10,63,0,73,274,16,290,415,Gombe,13,67,1,81,199,35,234,357,Gombe,6,49,3,58,165,9,174,298,Gombe,27,84,4,115,363,47,410,656,Gombe,12,48,1,61,240,26,266,394,Gombe,17,42,1,60,220,30,250,388
Imo,9,20,2,31,91,15,106,230,Imo,7,7,2,16,71,17,88,116,Imo,6,13,4,23,64,14,78,145,Imo,9,15,3,27,85,16,101,251,Imo,11,25,1,37,130,22,152,328,Imo,7,16,3,26,54,17,71,134,Imo,5,13,2,20,46,9,55,94,Imo,3,12,2,17,45,4,49,145,Imo,9,21,1,31,97,21,118,235,Imo,9,8,1,18,58,11,69,123,Imo,6,11,3,20,37,8,45,120
Jigawa,27,61,4,92,318,64,382,628,Jigawa,15,50,2,67,264,35,299,443,Jigawa,22,41,0,63,370,46,416,499,Jigawa,23,70,1,94,312,65,377,560,Jigawa,34,94,1,129,510,62,572,858,Jigawa,18,83,1,102,417,37,454,724,Jigawa,13,74,1,88,333,46,379,594,Jigawa,22,124,1,147,503,46,549,842,Jigawa,44,134,1,179,624,44,668,1043,Jigawa,23,105,1,129,400,26,426,717,Jigawa,29,77,1,107,291,53,344,591
Kaduna,93,175,13,281,1010,224,1234,2234,Kaduna,104,147,5,256,1149,196,1345,2151,Kaduna,94,126,2,222,837,217,1054,1790,Kaduna,58,111,5,174,684,144,828,1471,Kaduna,60,112,5,177,691,120,811,1436,Kaduna,82,106,9,197,887,197,1084,1818,Kaduna,73,106,2,181,717,177,894,1586,Kaduna,64,120,8,192,744,164,908,1462,Kaduna,69,132,4,205,810,142,952,1728,Kaduna,65,129,9,203,782,139,921,1730,Kaduna,61,117,12,190,755,119,874,1489
Kano,54,46,2,102,499,194,693,1013,Kano,33,100,4,137,604,100,704,1013,Kano,22,47,1,70,286,57,343,480,Kano,15,17,0,32,131,53,184,283,Kano,21,19,0,40,190,40,230,385,Kano,42,48,2,92,417,138,555,782,Kano,37,53,1,91,406,74,480,683,Kano,34,65,5,104,330,57,387,631,Kano,51,69,0,120,411,94,505,781,Kano,23,39,4,66,309,69,378,587,Kano,22,60,5,87,272,46,318,556
Katsina,19,54,4,77,277,39,316,421,Katsina,19,52,0,71,287,29,316,469,Katsina,20,19,0,39,148,40,188,229,Katsina,15,3,0,18,98,33,131,138,Katsina,6,4,0,10,38,13,51,73,Katsina,12,1,0,13,76,37,113,143,Katsina,14,12,0,26,131,22,153,197,Katsina,26,28,0,54,221,77,298,417,Katsina,14,22,0,36,169,32,201,278,Katsina,13,10,0,23,143,29,172,206,Katsina,17,20,0,37,131,34,165,242
Kebbi,21,33,4,58,222,56,278,387,Kebbi,13,31,0,44,139,21,160,263,Kebbi,4,47,2,53,130,4,134,220,Kebbi,15,39,0,54,159,59,218,312,Kebbi,16,44,2,62,248,28,276,378,Kebbi,7,46,4,57,229,22,251,350,Kebbi,10,29,0,39,138,13,151,180,Kebbi,16,36,0,52,154,39,193,259,Kebbi,16,28,0,44,186,43,229,391,Kebbi,9,18,0,27,128,62,190,252,Kebbi,10,25,2,37,89,24,113,207
Kogi,23,82,17,122,335,55,390,851,Kogi,38,83,22,143,425,94,519,1361,Kogi,21,57,19,97,246,25,271,705,Kogi,22,59,14,95,280,42,322,786,Kogi,36,84,17,137,428,68,496,1207,Kogi,41,86,15,142,474,95,569,1449,Kogi,35,83,21,139,395,81,476,1242,Kogi,21,72,17,110,305,36,341,838,Kogi,40,88,10,138,413,81,494,1287,Kogi,30,61,6,97,313,64,377,718,Kogi,31,68,8,107,360,57,417,995
Kwara,26,64,12,102,313,60,373,694,Kwara,25,62,13,100,369,69,438,680,Kwara,32,63,13,108,368,80,448,750,Kwara,9,55,14,78,255,21,276,551,Kwara,35,63,10,108,365,76,441,782,Kwara,32,55,7,94,315,86,401,635,Kwara,39,42,12,93,342,67,409,727,Kwara,17,62,1,80,267,30,297,643,Kwara,24,64,3,91,252,54,306,632,Kwara,28,60,3,91,328,54,382,663,Kwara,18,55,4,77,288,37,325,633
Lagos,14,61,38,113,181,21,202,602,Lagos,23,73,55,151,243,26,269,709,Lagos,28,75,42,145,266,47,313,717,Lagos,29,76,36,141,233,41,274,689,Lagos,24,84,51,159,262,43,305,751,Lagos,25,98,75,198,276,48,324,1118,Lagos,23,74,51,148,209,32,241,720,Lagos,20,74,52,146,201,57,258,699,Lagos,37,80,50,167,268,42,310,808,Lagos,18,60,35,113,230,40,270,613,Lagos,35,58,45,138,209,52,261,689
Nasarawa,42,112,46,200,513,65,578,961,Nasarawa,37,100,39,176,452,77,529,931,Nasarawa,37,182,23,242,600,53,653,1106,Nasarawa,27,148,37,212,535,33,568,921,Nasarawa,44,207,12,263,686,59,745,1417,Nasarawa,47,189,11,247,556,70,626,1225,Nasarawa,37,191,9,237,602,65,667,1286,Nasarawa,36,195,10,241,626,78,704,1210,Nasarawa,34,189,11,234,580,57,637,1216,Nasarawa,18,118,7,143,315,23,338,565,Nasarawa,31,167,10,208,532,55,587,1108
Niger,27,80,3,110,347,91,438,653,Niger,25,82,1,108,492,93,585,809,Niger,47,98,3,148,516,103,619,946,Niger,64,151,4,219,577,150,727,1227,Niger,50,129,1,180,759,108,867,1377,Niger,62,80,4,146,754,155,909,1580,Niger,34,92,2,128,456,75,531,855,Niger,19,100,5,124,308,41,349,546,Niger,44,97,4,145,553,96,649,1075,Niger,34,83,6,123,407,94,501,895,Niger,39,107,4,150,499,78,577,1042
Ogun,59,160,60,279,548,83,631,1678,Ogun,58,173,68,299,670,82,752,1908,Ogun,73,185,79,337,637,121,758,1980,Ogun,59,169,71,299,618,98,716,1889,Ogun,71,169,46,286,633,129,762,1920,Ogun,63,158,47,268,656,126,782,1915,Ogun,54,150,35,239,595,90,685,1586,Ogun,69,175,62,306,718,102,820,1817,Ogun,56,192,53,301,663,77,740,1737,Ogun,60,175,34,269,707,113,820,1742,Ogun,67,172,44,283,621,97,718,1777
Ondo,49,56,9,114,320,84,404,899,Ondo,32,76,7,115,290,43,333,752,Ondo,32,68,14,114,299,47,346,772,Ondo,31,62,3,96,251,51,302,580,Ondo,39,78,17,134,247,62,309,797,Ondo,33,82,12,127,355,54,409,1038,Ondo,25,74,15,114,244,35,279,529,Ondo,34,99,6,139,356,59,415,1034,Ondo,23,78,8,109,247,33,280,593,Ondo,23,71,5,99,239,43,282,618,Ondo,29,76,8,113,278,39,317,668
Osun,34,65,10,109,292,52,344,711,Osun,22,72,11,105,317,43,360,749,Osun,24,55,8,87,250,52,302,615,Osun,35,57,13,105,324,82,406,866,Osun,27,64,16,107,302,63,365,813,Osun,23,67,12,102,376,29,405,883,Osun,15,56,7,78,245,20,265,588,Osun,10,80,5,95,327,30,357,823,Osun,19,73,9,101,319,39,358,795,Osun,10,54,5,69,255,13,268,559,Osun,18,58,13,89,230,54,284,639
Oyo,41,89,25,155,385,68,453,1120,Oyo,56,107,13,176,399,103,502,1169,Oyo,46,96,10,152,400,85,485,1009,Oyo,34,93,10,137,344,58,402,888,Oyo,53,98,12,163,494,93,587,1213,Oyo,46,113,14,173,540,73,613,1337,Oyo,51,107,13,171,378,64,442,1084,Oyo,45,115,6,166,514,84,598,1243,Oyo,53,108,4,165,423,84,507,984,Oyo,32,69,5,106,247,53,300,591,Oyo,55,83,6,144,370,94,464,779
Plateau,8,20,17,45,123,17,140,255,Plateau,10,25,13,48,130,15,145,251,Plateau,13,68,18,99,283,23,306,579,Plateau,13,56,8,77,249,25,274,417,Plateau,17,51,6,74,261,34,295,529,Plateau,22,51,0,73,270,36,306,508,Plateau,21,37,4,62,184,39,223,627,Plateau,16,51,13,80,227,32,259,552,Plateau,18,56,10,84,254,29,283,522,Plateau,23,70,7,100,420,55,475,824,Plateau,11,46,4,61,194,33,227,400
Rivers,3,18,4,25,77,6,83,194,Rivers,3,16,2,21,54,4,58,118,Rivers,4,16,6,26,65,6,71,142,Rivers,8,17,6,31,88,23,111,208,Rivers,11,12,4,27,135,23,158,239,Rivers,5,19,5,29,58,7,65,157,Rivers,6,10,6,22,54,6,60,165,Rivers,8,9,4,21,42,9,51,204,Rivers,7,10,9,26,43,16,59,156,Rivers,5,8,5,18,37,9,46,80,Rivers,8,10,4,22,34,11,45,116
Sokoto,12,20,0,32,138,47,185,228,Sokoto,15,22,0,37,119,33,152,205,Sokoto,20,3,0,23,87,37,124,196,Sokoto,10,14,3,27,78,15,93,175,Sokoto,13,22,0,35,146,25,171,224,Sokoto,8,17,2,27,103,13,116,231,Sokoto,17,12,2,31,126,68,194,248,Sokoto,24,23,1,48,146,38,184,256,Sokoto,18,19,0,37,148,26,174,259,Sokoto,9,9,0,18,69,40,109,148,Sokoto,6,11,0,17,58,8,66,90
