FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED
86,149,44,279,961,170,1131,2140
125,580,21,726,2101,260,2361,3922
66,121,23,210,428,92,520,1072
139,281,117,537,1243,198,1441,4122
447,949,32,1428,5927,1048,6975,10649
17,76,27,120,257,52,309,629
138,491,70,699,1938,237,2175,3434
68,218,7,293,1162,194,1356,2018
103,193,38,334,846,174,1020,1854
189,306,76,571,1690,356,2046,3848
115,252,48,415,1066,225,1291,2831
220,359,103,682,1758,422,2180,5023
73,194,45,312,737,109,846,1763
167,367,107,641,1887,298,2185,4934
618,2573,743,3934,7146,874,8020,19309
156,669,21,846,2637,291,2928,4588
81,161,24,266,778,154,932,1921
270,913,14,1197,4342,524,4866,7499
823,1381,74,2278,9066,1839,10905,18895
354,563,24,941,3855,922,4777,7194
175,225,4,404,1719,385,2104,2813
137,376,14,527,1822,371,2193,3199
338,823,166,1327,3974,698,4672,11439
285,645,92,1022,3462,634,4096,7390
276,813,530,1619,2578,449,3027,8115
390,1798,215,2403,5997,635,6632,11946
445,1099,37,1581,5668,1084,6752,11005
689,1878,599,3166,7066,1118,8184,19949
350,820,104,1274,3126,550,3676,8280
237,701,109,1047,3237,477,3714,8041
512,1078,118,1708,4494,859,5353,11417
172,531,100,803,2595,338,2933,5464
68,145,55,268,687,120,807,1779
152,172,8,332,1218,350,1568,2260
75,603,7,685,1958,134,2092,3493
188,275,17,480,2539,429,2968,4169
101,236,4,341,1456,259,1715,2477
